age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
42.583,1,0.007634350036310357,0.6244182258960197,0.36794742406767,0.0,0.0,0.007634350036310357,0.6244182258960197,0.36794742406767,0.0,0.0
42.667,0,0.007116920842410576,0.6207185270622376,0.37216455209535176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.667,1,0.007116920842410576,0.6207185270622376,0.37216455209535176,0.0,0.0,0.007116920842410576,0.6207185270622376,0.37216455209535176,0.0,0.0
42.75,0,0.006617647058823069,0.6169766435986124,0.3764057093425645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.75,1,0.006617647058823069,0.6169766435986124,0.3764057093425645,0.0,0.0,0.006617647058823069,0.6169766435986124,0.3764057093425645,0.0,0.0
42.833,0,0.006136528685547838,0.6131925755051438,0.38067089580930824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.833,1,0.006136528685547838,0.6131925755051438,0.38067089580930824,0.0,0.0,0.006136528685547838,0.6131925755051438,0.38067089580930824,0.0,0.0
42.917,0,0.005673565722584879,0.6093663227818322,0.3849601114955829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.917,1,0.005673565722584879,0.6093663227818322,0.3849601114955829,0.0,0.0,0.005673565722584879,0.6093663227818322,0.3849601114955829,0.0,0.0
43.0,0,0.005228758169934195,0.6054978854286773,0.3892733564013885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1,0.005228758169934195,0.6054978854286773,0.3892733564013885,0.0,0.0,0.005228758169934195,0.6054978854286773,0.3892733564013885,0.0,0.0
43.083,0,0.004802106027595785,0.6015872634456791,0.39361063052672507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.083,1,0.004802106027595785,0.6015872634456791,0.39361063052672507,0.0,0.0,0.004802106027595785,0.6015872634456791,0.39361063052672507,0.0,0.0
43.167,0,0.004393609295569648,0.5976344568328378,0.3979719338715926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.167,1,0.004393609295569648,0.5976344568328378,0.3979719338715926,0.0,0.0,0.004393609295569648,0.5976344568328378,0.3979719338715926,0.0,0.0
43.25,0,0.004003267973855786,0.5936394655901531,0.40235726643599107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.25,1,0.004003267973855786,0.5936394655901531,0.40235726643599107,0.0,0.0,0.004003267973855786,0.5936394655901531,0.40235726643599107,0.0,0.0
43.333,0,0.003631082062454199,0.5896022897176254,0.40676662821992043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
