age,female,"bs(age, df=6, degree=3, include_intercept=False)[0]","bs(age, df=6, degree=3, include_intercept=False)[1]","bs(age, df=6, degree=3, include_intercept=False)[2]","bs(age, df=6, degree=3, include_intercept=False)[3]","bs(age, df=6, degree=3, include_intercept=False)[4]","bs(age, df=6, degree=3, include_intercept=False)[5]","bs(age, df=6, degree=3, include_intercept=False)[0]:female","bs(age, df=6, degree=3, include_intercept=False)[1]:female","bs(age, df=6, degree=3, include_intercept=False)[2]:female","bs(age, df=6, degree=3, include_intercept=False)[3]:female","bs(age, df=6, degree=3, include_intercept=False)[4]:female","bs(age, df=6, degree=3, include_intercept=False)[5]:female"
42.0,1,0.0007843137254901514,0.22037876251069513,0.717972759093421,0.06086416467039379,0.0,0.0,0.0007843137254901514,0.22037876251069513,0.717972759093421,0.06086416467039379,0.0,0.0
42.083,0,0.0007207529788320925,0.21783169317561818,0.7194900468503762,0.06195750699517358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.083,1,0.0007207529788320925,0.21783169317561818,0.7194900468503762,0.06195750699517358,0.0,0.0,0.0007207529788320925,0.21783169317561818,0.7194900468503762,0.06195750699517358,0.0,0.0
42.167,0,0.0006607224508458645,0.21529490611678798,0.7209805062851669,0.0630638651471993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.167,1,0.0006607224508458645,0.21529490611678798,0.7209805062851669,0.0630638651471993,0.0,0.0,0.0006607224508458645,0.21529490611678798,0.7209805062851669,0.0630638651471993,0.0,0.0
42.25,0,0.0006041212781408438,0.21276867229690893,0.7224438902817499,0.06418331614320022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.25,1,0.0006041212781408438,0.21276867229690893,0.7224438902817499,0.06418331614320022,0.0,0.0,0.0006041212781408438,0.21276867229690893,0.7224438902817499,0.06418331614320022,0.0,0.0
42.333,0,0.0005508485973264066,0.21025326267868566,0.7238799517240823,0.06531593699990561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.333,1,0.0005508485973264066,0.21025326267868566,0.7238799517240823,0.06531593699990561,0.0,0.0,0.0005508485973264066,0.21025326267868566,0.7238799517240823,0.06531593699990561,0.0,0.0
42.417,0,0.0005008035450119291,0.20774894822482268,0.7252884434961206,0.06646180473404473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.417,1,0.0005008035450119291,0.20774894822482268,0.7252884434961206,0.06646180473404473,0.0,0.0,0.0005008035450119291,0.20774894822482268,0.7252884434961206,0.06646180473404473,0.0,0.0
42.5,0,0.0004538852578067877,0.20525599989802443,0.726669118481822,0.06762099636234685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
