quantile,outcome,fit metric
0.68,dia,0.06728639638055478
0.69,dia,0.06571347971678432
0.7,dia,0.06455329134490206
0.71,dia,0.06398874117594033
0.72,dia,0.06435185002029653
0.73,dia,0.0657091215015162
0.74,dia,0.0679718499383154
0.75,dia,0.06898335544147993
0.76,dia,0.06837857198918385
0.77,dia,0.06692180801395442
0.78,dia,0.06643338303971613
0.79,dia,0.06711152186462077
0.8,dia,0.06914590021719025
0.81,dia,0.07063662377753432
0.82,dia,0.07014975512594168
0.83,dia,0.06854812791591769
0.84,dia,0.06835637754127621
0.85,dia,0.0700068577621229
0.86,dia,0.07094152306653889
0.87,dia,0.06974962902303539
0.88,dia,0.06874225648225452
0.89,dia,0.06989556741064529
0.9,dia,0.06720242677496102
0.91,dia,0.06303813471525688
0.92,dia,0.06280185133386407
0.93,dia,0.060025409196703405
0.94,dia,0.05472085394393533
0.95,dia,0.055061254517496105
0.96,dia,0.057452151068817736
0.97,dia,0.059924308267962356
0.98,dia,0.05578917129126648
0.99,dia,0.04377367946400046
0.01,sys,0.05952000846102812
0.02,sys,0.09566258751062473
0.03,sys,0.10288829049103265
0.04,sys,0.10162106024436779
0.05,sys,0.10251107704967122
0.06,sys,0.10122754628750874
0.07,sys,0.10368184861827934
0.08,sys,0.11054907606530251
0.09,sys,0.11488656487048854
0.1,sys,0.11822212276796129
0.11,sys,0.12182989802608302
0.12,sys,0.1220035921745053
0.13,sys,0.12358120284928731
0.14,sys,0.1227872651220937
0.15,sys,0.12217068810512621
0.16,sys,0.11999658295056093
0.17,sys,0.11835723268661902
0.18,sys,0.1180876109750365
0.19,sys,0.11627413565484146
0.2,sys,0.11480045192732091
0.21,sys,0.11474700610495314
0.22,sys,0.11565153941539508
0.23,sys,0.1173658349745601
0.24,sys,0.11977378393341298
0.25,sys,0.1225550952309814
0.26,sys,0.12372001058622761
0.27,sys,0.12465716561694262
0.28,sys,0.12619199024429983
0.29,sys,0.12818856229622755
0.3,sys,0.12855332456315682
0.31,sys,0.12821746981746163
0.32,sys,0.12837946828525482
0.33,sys,0.12756068744561855
0.34,sys,0.12577367728702638
0.35,sys,0.12454373381565498
0.36,sys,0.12369517556253651
0.37,sys,0.12172729345664879
0.38,sys,0.11910372397284685
0.39,sys,0.11709929548449671
0.4,sys,0.11573772773438074
0.41,sys,0.11495145144392671
0.42,sys,0.1147260435366062
0.43,sys,0.1133836422673552
0.44,sys,0.11118596619939913
0.45,sys,0.10959157223979599
0.46,sys,0.10856665509979058
0.47,sys,0.10808034784561782
0.48,sys,0.10815919120888351
0.49,sys,0.10882821741566928
0.5,sys,0.11005772652966317
0.51,sys,0.11068475864541005
0.52,sys,0.11020931345258633
0.53,sys,0.10997558038177724
0.54,sys,0.11030113503295103
0.55,sys,0.11119816789182091
0.56,sys,0.11263466029970948
0.57,sys,0.11373329948424349
0.58,sys,0.11365170952245496
0.59,sys,0.11353526215653909
0.6,sys,0.11390196131497854
0.61,sys,0.11477093486225565
0.62,sys,0.11525288713406812
0.63,sys,0.11473645531530285
0.64,sys,0.11426087588617029
0.65,sys,0.11435484262135842
0.66,sys,0.11417257774402556
0.67,sys,0.11280377856588941
0.68,sys,0.11162162895256489
0.69,sys,0.11112414206109855
0.7,sys,0.11116751652576407
0.71,sys,0.10991383935163113
0.72,sys,0.10836095398022749
0.73,sys,0.1076090713566481
0.74,sys,0.1077317396672044
0.75,sys,0.10878230772709252
0.76,sys,0.11004415946526258
0.77,sys,0.10996944617262094
0.78,sys,0.11027828881601365
0.79,sys,0.11169762397127136
0.8,sys,0.11247616323697096
0.81,sys,0.11220638583269482
0.82,sys,0.11230719785355103
0.83,sys,0.11099164378746473
0.84,sys,0.11037133931038534
0.85,sys,0.10856956067348866
0.86,sys,0.10636831387355461
0.87,sys,0.106008652256252
0.88,sys,0.1039603820859556
0.89,sys,0.10282411398874192
0.9,sys,0.10453275960863506
0.91,sys,0.10461185660296923
0.92,sys,0.10665829407144034
0.93,sys,0.10767907499755125
0.94,sys,0.10805533613286133
0.95,sys,0.10714586748180965
0.96,sys,0.10626858790424687
0.97,sys,0.10909983556795466
0.98,sys,0.105901032507701
0.99,sys,0.09696596955395675
