age,Normal,Elevated,Stage 1,Stage 2,Normal 2.5%,Normal 97.5%,Elevated 2.5%,Elevated 97.5%,Stage 1 2.5%,Stage 1 97.5%,Stage 2 2.5%,Stage 2 97.5%
52,0.2854819825679719,0.15370105372707168,0.3647716924678028,0.19604527123715362,0.2783427653342446,0.2926211998016992,0.14800000208288577,0.1594021053712576,0.35716264771586204,0.3723807372197435,0.18976976688234323,0.202320775591964
53,0.27826773726470977,0.15729893378965382,0.3716598657364749,0.1927734632091615,0.2711419718985082,0.28539350263091134,0.15150982526435436,0.16308804231495327,0.3639759558488621,0.3793437756240877,0.1865010686412975,0.1990458577770255
54,0.2771542827657379,0.16318369453044376,0.36906604747162025,0.19059597523219815,0.2701088152920186,0.2841997502394572,0.157366954437249,0.16900043462363853,0.3614703054271731,0.3766617895160674,0.18441345204662313,0.19677849841777317
55,0.27394406212513417,0.1569543531788623,0.3655533808952585,0.203548203800745,0.26699861518197426,0.2808895090682941,0.1512893985036391,0.16261930785408552,0.35805345179622455,0.3730533099942925,0.19727776986139176,0.20981863774009826
56,0.2766759946465507,0.1599951332278866,0.35776858498600805,0.20556028713955468,0.26983725953695425,0.2835147297561471,0.1543908781978792,0.16559938825789403,0.3504408378004946,0.3650963321715215,0.19938263167250142,0.21173794260660794
57,0.27808403773122625,0.15937767977459266,0.35538404998162443,0.20715423251255666,0.27121114528677764,0.28495693017567486,0.15376303346275172,0.1649923260864336,0.34804216317126285,0.362725936791986,0.2009376821476891,0.21337078287742423
58,0.2620092893045747,0.16746198383915506,0.3654641471018642,0.20506457975440606,0.2551346952737903,0.26888388333535906,0.16162453056572545,0.17329943711258466,0.35793555554352563,0.37299273866020277,0.19875247039113136,0.21137668911768076
59,0.2671957671957672,0.16894302940814568,0.36126491940445427,0.20259628399163282,0.260393138998835,0.27399839539269943,0.16318261801966844,0.17470344079662292,0.3538800767977403,0.3686497620111682,0.1964172180695546,0.20877534991371105
60,0.2594195519348269,0.17521639511201628,0.3574974541751528,0.20786659877800406,0.25256593496364155,0.26627316890601227,0.1692722454443535,0.18116054477967908,0.3500035823799251,0.3649913259703804,0.2015217120409972,0.21421148551501093
61,0.25539181582442605,0.1777876162165581,0.35127442919486435,0.21554613876415155,0.2485945256171427,0.2621891060317094,0.1718280975836139,0.18374713484950228,0.3438335852121893,0.3587152731775394,0.20913666686354263,0.22195561066476047
62,0.25298765754587604,0.18030431659374388,0.3490498269444263,0.21765819891595375,0.24610222060189793,0.2598730944898542,0.17421529750078169,0.18639333568670607,0.3415000253854105,0.3565996285034421,0.21112232398419462,0.2241940738477129
63,0.24957898282249916,0.18134051869316267,0.34981475244189963,0.21926574604243854,0.24261729588100014,0.2565406697639982,0.175142440300509,0.18753859708581636,0.3421429818793127,0.3574865230044866,0.2126100266668372,0.22592146541803987
64,0.25439944134078213,0.1846368715083799,0.339804469273743,0.22115921787709497,0.24726618598660488,0.2615326966949594,0.17828193329214906,0.19099180972461074,0.33204686868890343,0.3475620698585826,0.21436165166034543,0.2279567840938445
