quantile,outcome,fit metric
0.77,dia,0.06663672743973104
0.78,dia,0.06612070973644546
0.79,dia,0.06685825656913269
0.8,dia,0.06892306943640136
0.81,dia,0.0704141536916304
0.82,dia,0.0698757882083646
0.83,dia,0.06823151282993234
0.84,dia,0.0679905002048723
0.85,dia,0.06971954215849019
0.86,dia,0.07065691343671554
0.87,dia,0.06949125002117684
0.88,dia,0.0685021584922072
0.89,dia,0.0697304189821738
0.9,dia,0.0669624127407974
0.91,dia,0.06271743008577879
0.92,dia,0.06261499690350691
0.93,dia,0.059874787525767026
0.94,dia,0.05458737596415564
0.95,dia,0.054681867992162125
0.96,dia,0.05707591102089682
0.97,dia,0.059638549988007994
0.98,dia,0.05548167091188949
0.99,dia,0.043686633215332615
0.01,sys,0.05987439559759844
0.02,sys,0.09641310355855759
0.03,sys,0.10402532610315707
0.04,sys,0.10265970606240293
0.05,sys,0.10300722612664459
0.06,sys,0.10176039653927971
0.07,sys,0.10407740788254205
0.08,sys,0.11072892692787795
0.09,sys,0.11508329438759424
0.1,sys,0.11874439659602398
0.11,sys,0.12243968997357446
0.12,sys,0.12262021047913474
0.13,sys,0.12402949503868921
0.14,sys,0.1230842245244963
0.15,sys,0.1223959786763994
0.16,sys,0.12013240686593185
0.17,sys,0.1185757415389983
0.18,sys,0.11834660480153592
0.19,sys,0.11647341607034256
0.2,sys,0.11502640180430812
0.21,sys,0.11475145457382274
0.22,sys,0.11568626293102646
0.23,sys,0.11768076091520907
0.24,sys,0.12028803765741125
0.25,sys,0.1231299049140917
0.26,sys,0.12426270128863837
0.27,sys,0.1250493262928125
0.28,sys,0.12649631393058158
0.29,sys,0.12855925821656955
0.3,sys,0.12882481477691454
0.31,sys,0.12846884324786345
0.32,sys,0.1284731227676359
0.33,sys,0.1276014652050298
0.34,sys,0.12588591824119655
0.35,sys,0.12471853065192251
0.36,sys,0.12372481620629305
0.37,sys,0.12162808364305056
0.38,sys,0.11898725932266863
0.39,sys,0.11687220416483135
0.4,sys,0.11538558085032535
0.41,sys,0.11463114785952566
0.42,sys,0.11441245701937264
0.43,sys,0.11299644089334782
0.44,sys,0.11083073927561571
0.45,sys,0.10922739913085922
0.46,sys,0.10807507562267127
0.47,sys,0.10750437895214837
0.48,sys,0.10758955284422245
0.49,sys,0.10829070697649634
0.5,sys,0.10953559210778141
0.51,sys,0.11022102670250433
0.52,sys,0.1097084893682213
0.53,sys,0.10932142816788515
0.54,sys,0.10958526098391297
0.55,sys,0.11043462524344361
0.56,sys,0.11189353013918357
0.57,sys,0.1130963438150634
0.58,sys,0.11314555768880696
0.59,sys,0.1130451153591322
0.6,sys,0.11331020918434631
0.61,sys,0.1140327542199916
0.62,sys,0.1144057216432518
0.63,sys,0.11374166627868476
0.64,sys,0.11322007929320999
0.65,sys,0.11340697783481946
0.66,sys,0.11324695530845263
0.67,sys,0.11193644412350479
0.68,sys,0.11071069928262611
0.69,sys,0.11008965691456729
0.7,sys,0.11002603313005632
0.71,sys,0.10870598565325928
0.72,sys,0.1071863772995918
0.73,sys,0.10644095572726331
0.74,sys,0.10659584353562201
0.75,sys,0.10762194139449299
