quantiles,intercept,age_beta,female_beta,noplace_beta,poor_beta,education_L12_beta,singlefamily_beta,crowded_beta,rented_beta,notemployed_beta
0.22,78.57142857142831,-0.21428571428571008,-3.303571428571388,0.37500000000005385,-1.071428571428682,-0.3214285714285685,-1.410714285714236,0.08928571428585473,-0.16071428571422003,2.178571428571467
0.23,78.2051282051286,-0.20512820512821495,-3.1794871794871367,0.4102564102564454,-1.0256410256410902,-0.2820512820511532,-1.384615384615353,-0.07692307692306785,7.959999073070332e-15,1.9743589743590346
0.24000000000000002,78.69565217391295,-0.20869565217391184,-3.1130434782608667,0.6086956521738803,-0.8869565217391341,-0.3652173913043093,-1.2869565217391017,-0.1739130434782452,-0.13913043478256965,1.7739130434782724
0.25,79.28155339805821,-0.21359223300970817,-3.0291262135922103,0.5631067961165078,-0.8349514563106805,-0.42718446601946236,-0.9126213592233487,-0.33009708737865595,-0.3106796116504726,1.7281553398058538
0.26,79.20833333333339,-0.20833333333333404,-2.791666666666684,0.6666666666666602,-0.5416666666666587,-0.5000000000000163,-0.7499999999999988,-0.45833333333335075,-0.4583333333333235,1.499999999999995
0.27,79.43589743589747,-0.205128205128205,-3.025641025641034,0.6153846153846025,-0.358974358974335,-0.5128205128205472,-0.6666666666666828,-0.5128205128205336,-0.5128205128205147,1.230769230769259
0.28,79.40845070422445,-0.19718309859153574,-3.014084507042323,0.6478873239439037,-0.30985915492915955,-0.3380281690147325,-0.7323943661968719,-0.6478873239438934,-0.7323943661968512,1.2112676056338678
0.29000000000000004,79.2903225806452,-0.19354838709677438,-2.967741935483868,0.9999999999999988,-0.29032258064517574,-0.2903225806451604,-0.2903225806451575,-0.8709677419354848,-0.6451612903225784,1.2258064516129028
0.3,79.99999999999994,-0.1999999999999991,-2.999999999999981,1.0000000000000149,-0.19999999999948556,-0.5999999999999931,-0.6000000000000056,-0.4000000000000744,-0.7999999999999726,1.399999999999454
0.31,80.19999999999996,-0.1999999999999996,-2.800000000000004,0.8000000000000104,-0.19999999999993945,-0.4000000000000686,-0.8000000000000081,-0.39999999999992464,-0.5999999999999864,1.199999999999985
0.32,80.39999999999995,-0.1999999999999988,-2.600000000000014,1.0000000000000056,-0.19999999999994897,-0.5999999999999837,-0.8000000000000086,-0.199999999999933,-0.4000000000000119,0.9999999999999427
0.32999999999999996,80.431372549019585,-0.19607843137254813,-2.627450980392165,1.0588235294117263,-0.11764705882356033,-0.7058823529411762,-0.9019607843137216,-0.27450980392153895,-0.07843137254900678,0.7450980392156638
0.33999999999999997,80.03703703703786,-0.18518518518519772,-2.555555555554924,1.3703703703700623,-0.18518518518520688,-0.6666666666671162,-0.3703703703697567,-0.40740740740754566,-0.07407407407435275,0.6296296296299295
0.35,80.51351351351352,-0.18918918918918937,-2.5135135135135425,1.243243243243251,-0.054054054054071154,-0.8108108108107717,-0.48648648648647763,-0.37837837837837496,-0.05405405405403004,0.5405405405405328
0.36,80.75000000000007,-0.18750000000000072,-2.6875000000000044,1.4374999999999827,-0.1875000000000153,-0.6874999999999906,-0.3750000000000076,-0.37499999999999184,0.06250000000000608,0.3124999999999882
0.37,81.13513513513514,-0.18918918918918917,-2.621621621621634,1.2702702702703839,-0.24324324324324637,-0.837837837837968,-0.5675675675674825,-0.5135135135136111,0.3243243243243276,0.4054054054053689
0.38,81.67123287671241,-0.1917808219178089,-2.6849315068493174,1.0684931506849153,-0.35616438356164704,-1.0136986301369888,-0.5753424657534256,-0.6301369863013885,0.32876712328768193,0.41095890410962066
0.39,81.68749999999999,-0.1874999999999996,-2.6875000000000027,1.0624999999999873,-0.3750000000000056,-1.0624999999999825,-4.523205534192119e-14,-0.5000000000000117,0.18750000000000333,0.3125000000000058
0.4,81.23529411764714,-0.1764705882352958,-2.764705882352913,1.0294117647058465,-0.47058823529409155,-0.9411764705883243,0.08823529411765253,-0.49999999999996203,0.26470588235295667,0.4705882352928002
0.41000000000000003,81.63636363636363,-0.18181818181818188,-2.545454545454549,1.090909090909052,-0.7272727272726263,-0.9090909090909193,9.397383006794622e-15,-0.3636363636364697,0.3636363636363331,0.54545454545448
0.42000000000000004,81.73333333333329,-0.17777777777777753,-2.6222222222222142,0.8000000000000116,-0.31111111111065204,-1.0222222222226696,-0.08888888888888768,-0.5777777777772385,0.3555555555555528,0.2666666666666786
0.43000000000000005,81.88235294117648,-0.17647058823529396,-2.6470588235294166,0.7647058823529547,0.05882352941178298,-0.882352941176377,-0.05882352941175229,-0.5882352941177902,0.2352941176470524,0.3529411764705822
0.44,81.9130434782609,-0.1739130434782612,-2.6086956521739135,0.9565217391304299,0.26086956521739657,-0.9565217391304359,-0.26086956521738797,-0.6086956521739028,0.4347826086956526,0.3478260869565221
0.45,81.6666666666667,-0.16666666666666707,-2.5000000000000044,0.8333333333333333,0.166666666666678,-0.8333333333333277,-0.3333333333333308,-0.3333333333333497,0.49999999999998956,0.6666666666666503
0.46,82.2285714285712,-0.17142857142856716,-2.571428571428636,0.8000000000000304,0.1714285714284711,-0.6857142857143003,-0.39999999999997987,2.2420384986290573e-14,0.40000000000006636,0.45714285714287267
0.47000000000000003,82.51428571428568,-0.17142857142857074,-2.5714285714285734,0.6857142857142905,0.17142857142852722,-0.5714285714285477,-0.22857142857141072,1.4393394554288907e-13,0.34285714285716873,0.2857142857142687
0.48000000000000004,82.85714285714278,-0.1714285714285705,-2.6857142857142744,0.5142857142857105,0.3428571428571762,-0.5714285714286191,-0.2857142857142718,0.11428571428577719,0.3428571428571767,-0.057142857142856364
0.49,82.66666666666666,-0.16666666666666613,-2.388888888888868,0.6666666666665766,0.44444444444443254,-0.722222222222207,-0.33333333333322157,0.27777777777778206,0.3888888888888642,-3.2914595019277073e-14
0.5,82.40000000000003,-0.16000000000000075,-2.1600000000002466,0.87999999999974865,0.4399999999998588,-0.5599999999997224,-0.5599999999997525,0.3600000000001326,0.279999999999855,-0.1199999999993682
0.51,82.55999999999997,-0.15999999999999867,-2.0800000000000187,0.8000000000000221,0.48000000000000403,-0.5600000000000105,-0.6400000000000218,0.24000000000000732,0.31999999999997875,-0.16000000000002382
0.52,82.30769230769236,-0.15384615384615472,-2.0000000000000284,0.9230769230768741,0.4615384615384701,-0.6153846153846043,-0.7692307692307393,0.3076923076922672,0.4615384615384259,-0.15384615384616482
0.53,82.89473684210529,-0.15789473684210542,-2.2631578947368407,1.157894736842074,0.7894736842104954,-0.6842105263157698,-0.8421052631578231,-0.10526315789473879,0.3684210526315796,-0.26315789473617934
0.54,83.6666666666666,-0.1666666666666657,-2.333333333333324,1.0833333333356832,0.9166666666642839,-0.6666666666666597,-0.8333333333333324,-0.3333333333340427,0.25000000000229977,-0.49999999999994177
0.55,83.8333333333333,-0.16666666666666607,-2.333333333333336,0.9999999999999947,0.8333333333323122,-0.5000000000000154,-0.666666666667746,-0.333333333332284,0.3333333333333355,-0.49999999999897315
0.56,83.67999999999996,-0.15999999999999978,-2.3199999999999927,0.8799999999999905,0.8800000000000003,-0.5600000000000122,-0.8000000000000068,-0.2399999999999902,0.2400000000000147,-0.2400000000000218
