N,E,S1,S2,D
0.32811,0.19657,0.24251,0.11353,0.11928
0.32797,0.19674,0.24169,0.11345,0.12015
0.32786,0.19657,0.24108,0.11351,0.12098
0.32818,0.1965,0.24032,0.11315,0.12185
0.32795,0.19649,0.23956,0.11333,0.12267
0.32794,0.19638,0.23903,0.11301,0.12364
0.32724,0.19612,0.2391,0.11303,0.12451
0.327,0.19573,0.23891,0.11302,0.12534
0.32665,0.19581,0.23815,0.11316,0.12623
0.32659,0.19628,0.23676,0.11327,0.1271
0.32622,0.19613,0.23652,0.1131,0.12803
0.32627,0.19591,0.23591,0.11302,0.12889
0.32614,0.1955,0.23527,0.11324,0.12985
0.32642,0.19623,0.23371,0.11297,0.13067
0.32567,0.19598,0.23353,0.11334,0.13148
0.32539,0.19651,0.2327,0.11283,0.13257
0.32485,0.19642,0.2324,0.1128,0.13353
0.32461,0.19656,0.23188,0.11252,0.13443
0.32442,0.19617,0.23136,0.1126,0.13545
0.32436,0.19661,0.23078,0.11182,0.13643
0.32385,0.19729,0.22971,0.1116,0.13755
0.32372,0.19764,0.22885,0.11124,0.13855
0.32334,0.19786,0.22825,0.11095,0.1396
0.32355,0.19802,0.22721,0.11061,0.14061
0.3232,0.19801,0.22664,0.11055,0.1416
0.32318,0.19839,0.22574,0.11007,0.14262
0.3222,0.19882,0.22576,0.10974,0.14348
0.3223,0.19866,0.22527,0.10942,0.14435
0.32184,0.1988,0.22475,0.10916,0.14545
0.32177,0.19908,0.22405,0.10877,0.14633
0.32132,0.19899,0.22331,0.10895,0.14743
0.32101,0.19928,0.22241,0.1088,0.1485
0.32062,0.19929,0.22171,0.10883,0.14955
0.32055,0.19904,0.22124,0.10869,0.15048
0.31965,0.19934,0.22089,0.10854,0.15158
0.31995,0.19925,0.22,0.1083,0.1525
0.31923,0.19933,0.21939,0.10852,0.15353
0.31966,0.19883,0.21877,0.10837,0.15437
0.31925,0.19863,0.21851,0.1081,0.15551
0.31918,0.19848,0.21802,0.10781,0.15651
0.31859,0.19839,0.2178,0.10773,0.15749
0.31834,0.19852,0.21728,0.10744,0.15842
0.31813,0.19788,0.21699,0.10743,0.15957
0.31821,0.19814,0.21598,0.10692,0.16075
0.31802,0.19783,0.21584,0.10647,0.16184
0.31787,0.19797,0.21498,0.1061,0.16308
0.31736,0.19767,0.21457,0.10604,0.16436
0.31745,0.19757,0.21383,0.1057,0.16545
0.31687,0.1973,0.21329,0.10575,0.16679
0.3165,0.19769,0.21245,0.10551,0.16785
0.31614,0.19755,0.21167,0.1056,0.16904
0.316,0.19749,0.21072,0.10558,0.17021
0.31569,0.19722,0.2105,0.10537,0.17122
0.31545,0.19743,0.2097,0.10523,0.17219
0.31515,0.19693,0.20946,0.10511,0.17335
0.31468,0.1969,0.20914,0.10482,0.17446
0.31416,0.19696,0.20867,0.10456,0.17565
0.31394,0.19677,0.20809,0.10448,0.17672
0.3129,0.19704,0.20776,0.1044,0.1779
0.31255,0.19711,0.20691,0.1043,0.17913
0.312,0.19711,0.20641,0.10418,0.1803
0.31196,0.19717,0.20521,0.10432,0.18134
0.31133,0.19721,0.20451,0.10433,0.18262
0.3108,0.19736,0.20412,0.10407,0.18365
0.3106,0.19734,0.20345,0.10401,0.1846
0.31036,0.19741,0.20275,0.10376,0.18572
0.30985,0.19676,0.2029,0.10384,0.18665
0.31001,0.19719,0.20172,0.10317,0.18791
0.30952,0.19731,0.20127,0.10285,0.18905
0.30906,0.19767,0.20035,0.10262,0.1903
0.30882,0.19766,0.19929,0.10247,0.19176
0.30821,0.19818,0.19857,0.10183,0.19321
0.3075,0.1985,0.19799,0.10169,0.19432
0.30716,0.19868,0.19777,0.10095,0.19544
0.30677,0.19897,0.19685,0.10076,0.19665
0.30663,0.199,0.19596,0.10061,0.1978
0.30616,0.19913,0.19538,0.10031,0.19902
0.30548,0.19927,0.195,0.10003,0.20022
0.30487,0.19919,0.19461,0.09988,0.20145
0.30456,0.19918,0.19385,0.09969,0.20272
0.30435,0.19905,0.1933,0.09943,0.20387
0.30418,0.19903,0.19243,0.09927,0.20509
0.3036,0.19868,0.19227,0.09906,0.20639
