N,E,S1,S2,D
0.33511,0.19915,0.22396,0.10449,0.13729
0.33472,0.19932,0.22343,0.10419,0.13834
0.33484,0.19934,0.22259,0.10386,0.13937
0.33452,0.19939,0.22193,0.10383,0.14033
0.33445,0.19985,0.22113,0.10323,0.14134
0.33354,0.20024,0.22094,0.10309,0.14219
0.33361,0.20034,0.22024,0.1028,0.14301
0.33323,0.20053,0.21953,0.1026,0.14411
0.33301,0.20111,0.21865,0.10224,0.14499
0.3325,0.20113,0.2178,0.10248,0.14609
0.3324,0.20125,0.21676,0.10246,0.14713
0.33206,0.20114,0.21604,0.10258,0.14818
0.33198,0.2009,0.2155,0.10251,0.14911
0.33104,0.20114,0.21518,0.10243,0.15021
0.33135,0.20099,0.21429,0.10224,0.15113
0.33074,0.20115,0.21368,0.10228,0.15215
0.33115,0.20081,0.21297,0.10208,0.15299
0.33084,0.20058,0.21259,0.10187,0.15412
0.33077,0.20031,0.21234,0.10149,0.15509
0.33013,0.20012,0.21234,0.10135,0.15606
0.32982,0.20044,0.21179,0.10098,0.15697
0.32957,0.20002,0.21131,0.10099,0.15811
0.32972,0.20015,0.21047,0.10038,0.15928
0.32942,0.20006,0.21017,0.09997,0.16038
0.32936,0.20015,0.20916,0.09974,0.16159
0.32895,0.19979,0.20857,0.09985,0.16284
0.32887,0.19976,0.20801,0.09946,0.1639
0.32828,0.19948,0.20754,0.09946,0.16524
0.32798,0.19979,0.20639,0.09955,0.16629
0.3277,0.19977,0.20534,0.0997,0.16749
0.32777,0.19965,0.20415,0.09982,0.16861
0.32775,0.1992,0.20374,0.09973,0.16958
0.32748,0.19946,0.20301,0.09952,0.17053
0.3273,0.19892,0.20265,0.09943,0.1717
0.32687,0.19895,0.20228,0.09911,0.17279
0.32638,0.19879,0.20187,0.09899,0.17397
0.32639,0.19844,0.20119,0.09896,0.17502
0.3253,0.19874,0.20105,0.09872,0.17619
0.3248,0.19889,0.20043,0.09846,0.17742
0.32426,0.1988,0.19989,0.09847,0.17858
0.32451,0.19872,0.1985,0.09863,0.17964
0.3241,0.19841,0.19805,0.09855,0.18089
0.32369,0.19845,0.19768,0.09829,0.18189
0.32338,0.19851,0.19715,0.09812,0.18284
0.32308,0.19879,0.19625,0.09793,0.18395
0.32241,0.19819,0.19653,0.09799,0.18488
0.32246,0.19878,0.19547,0.09718,0.18611
0.32188,0.19918,0.19472,0.09696,0.18726
0.32163,0.19955,0.19366,0.09665,0.18851
0.3212,0.1997,0.19264,0.09653,0.18993
0.32056,0.20036,0.19179,0.09591,0.19138
0.31991,0.20061,0.19101,0.09597,0.1925
0.31949,0.20079,0.19092,0.0952,0.1936
0.31916,0.20116,0.18995,0.09491,0.19482
0.31903,0.20132,0.18906,0.09461,0.19598
0.31841,0.20152,0.18848,0.0944,0.19719
0.31754,0.20198,0.18806,0.09404,0.19838
0.31709,0.2015,0.1879,0.0939,0.19961
0.31696,0.20142,0.18698,0.09377,0.20087
0.31667,0.20155,0.18641,0.09335,0.20202
0.3167,0.20135,0.18553,0.09319,0.20323
0.31636,0.20078,0.18544,0.09288,0.20454
0.3163,0.20079,0.1846,0.09263,0.20568
0.31609,0.20063,0.1841,0.09245,0.20673
0.31621,0.20051,0.18345,0.09196,0.20787
0.31592,0.20041,0.18268,0.09214,0.20885
0.31619,0.20074,0.18123,0.09184,0.21
0.31583,0.20077,0.18062,0.09144,0.21134
0.3157,0.2011,0.17987,0.09116,0.21217
0.3154,0.20061,0.17909,0.09155,0.21335
0.31515,0.20075,0.17819,0.09128,0.21463
