N,E,S1,S2,D
0.33106,0.20065,0.21104,0.10034,0.15691
0.33084,0.20019,0.21059,0.10033,0.15805
0.33097,0.20036,0.20969,0.09975,0.15923
0.33087,0.20015,0.2094,0.09928,0.1603
0.33065,0.20031,0.20854,0.09899,0.16151
0.33029,0.1999,0.20811,0.09892,0.16278
0.3303,0.19992,0.20736,0.09857,0.16385
0.32975,0.19958,0.20691,0.09858,0.16518
0.32944,0.19991,0.20594,0.09848,0.16623
0.3291,0.1999,0.20502,0.09855,0.16743
0.32909,0.19973,0.20408,0.09851,0.16859
0.32889,0.19946,0.20371,0.09837,0.16957
0.32855,0.19984,0.20282,0.09825,0.17054
0.32838,0.19926,0.2025,0.09816,0.1717
0.32806,0.19927,0.20201,0.09786,0.1728
0.32759,0.19922,0.20155,0.09767,0.17397
0.32752,0.19877,0.20106,0.09764,0.17501
0.32654,0.19903,0.20068,0.09756,0.17619
0.32593,0.19926,0.19992,0.09748,0.17741
0.3254,0.19922,0.19943,0.09738,0.17857
0.32548,0.19919,0.1981,0.09761,0.17962
0.32502,0.19909,0.19739,0.09761,0.18089
0.32451,0.19917,0.19706,0.09736,0.1819
0.32414,0.19938,0.19633,0.0973,0.18285
0.32395,0.19959,0.19544,0.09709,0.18393
0.32336,0.19908,0.1955,0.0972,0.18486
0.32341,0.19957,0.19427,0.09664,0.18611
0.32281,0.19984,0.19377,0.09633,0.18725
0.32248,0.20015,0.19287,0.09602,0.18848
0.32211,0.20029,0.19185,0.09583,0.18992
0.32155,0.20084,0.19094,0.09532,0.19135
0.32087,0.20114,0.19014,0.09539,0.19246
0.32046,0.2014,0.18991,0.09466,0.19357
0.32009,0.20172,0.18898,0.09444,0.19477
0.3199,0.20193,0.18796,0.09429,0.19592
0.31933,0.20206,0.18744,0.09405,0.19712
0.31863,0.20229,0.18695,0.09382,0.19831
0.31801,0.20209,0.18665,0.09371,0.19954
0.31763,0.20214,0.18582,0.0936,0.20081
0.31733,0.20208,0.18528,0.09336,0.20195
0.31736,0.20185,0.18447,0.09318,0.20314
0.31684,0.20134,0.18439,0.09299,0.20444
0.31677,0.20113,0.18369,0.09285,0.20556
0.31652,0.20094,0.18325,0.09267,0.20662
0.31665,0.20084,0.18247,0.09228,0.20776
0.31634,0.20064,0.18178,0.09249,0.20875
0.31641,0.20105,0.18054,0.0921,0.2099
0.31596,0.20096,0.18016,0.09167,0.21125
0.31567,0.20148,0.17933,0.09141,0.21211
0.31508,0.20095,0.17891,0.09176,0.2133
0.31476,0.20104,0.17807,0.09156,0.21457
0.31454,0.20089,0.17744,0.09145,0.21568
0.3144,0.20076,0.17666,0.09123,0.21695
0.31341,0.20053,0.1762,0.09118,0.21868
0.3132,0.20078,0.17529,0.09073,0.22
0.31223,0.20061,0.17499,0.09091,0.22126
0.3118,0.201,0.17407,0.09036,0.22277
0.31159,0.20098,0.17318,0.09022,0.22403
0.31106,0.20091,0.1729,0.08994,0.22519
0.3106,0.20085,0.17246,0.08978,0.22631
0.30992,0.20106,0.17169,0.08959,0.22774
0.30935,0.20051,0.17144,0.08956,0.22914
0.30942,0.20036,0.1706,0.08911,0.23051
0.30911,0.20016,0.1698,0.08902,0.23191
0.30856,0.20057,0.16862,0.08889,0.23336
0.30795,0.20051,0.16833,0.08859,0.23462
0.30734,0.20059,0.1679,0.08813,0.23604
0.30658,0.20029,0.16752,0.08818,0.23743
0.306,0.20017,0.16733,0.08777,0.23873
0.30539,0.20002,0.1668,0.08762,0.24017
0.30466,0.20036,0.16616,0.08734,0.24148
0.30411,0.19981,0.16611,0.08705,0.24292
0.30378,0.19952,0.16584,0.08665,0.24421
0.30313,0.19921,0.16537,0.08664,0.24565
0.30285,0.19936,0.16455,0.08603,0.24721
0.30242,0.19934,0.16408,0.08548,0.24868
0.30207,0.19949,0.16339,0.08502,0.25003
0.30156,0.19946,0.1629,0.08471,0.25137
0.30151,0.19969,0.16204,0.08411,0.25265
0.30101,0.19944,0.16197,0.08343,0.25415
0.30083,0.19931,0.16158,0.08288,0.2554
0.30035,0.19918,0.16121,0.08251,0.25675
0.29974,0.19907,0.16068,0.08241,0.2581
0.29925,0.19858,0.16047,0.08214,0.25956
0.29892,0.19842,0.15983,0.08188,0.26095
0.29849,0.19852,0.15913,0.08165,0.26221
0.29776,0.19842,0.15855,0.08157,0.2637
0.29741,0.19843,0.15743,0.08153,0.2652
0.29664,0.19849,0.15676,0.08156,0.26655
0.29603,0.19845,0.15617,0.08156,0.26779
0.29554,0.19838,0.15521,0.0813,0.26957
0.29517,0.19762,0.15469,0.08133,0.27119
0.29532,0.19724,0.15357,0.08136,0.27251
0.29484,0.19674,0.15319,0.0812,0.27403
0.29446,0.19648,0.1525,0.08107,0.27549
0.2937,0.19622,0.15206,0.08104,0.27698
0.29325,0.19636,0.15136,0.08081,0.27822
0.29226,0.19576,0.15113,0.08097,0.27988
0.29199,0.19568,0.15055,0.08043,0.28135
0.29153,0.19533,0.15002,0.08017,0.28295
0.29108,0.19527,0.1491,0.08003,0.28452
0.29022,0.1951,0.14861,0.08019,0.28588
0.28981,0.19489,0.14795,0.07991,0.28744
0.28909,0.19452,0.14768,0.07966,0.28905
0.28887,0.19418,0.14691,0.07939,0.29065
0.28817,0.19391,0.1466,0.07905,0.29227
0.28789,0.19384,0.14569,0.07866,0.29392
0.28703,0.19383,0.14535,0.07835,0.29544
0.28658,0.19333,0.14491,0.07791,0.29727
0.28598,0.19302,0.14438,0.07785,0.29877
0.28588,0.19224,0.14382,0.0777,0.30036
0.28504,0.19191,0.14329,0.07778,0.30198
0.28443,0.19129,0.14276,0.07779,0.30373
0.28355,0.19081,0.14209,0.07784,0.30571
0.28256,0.19111,0.14137,0.07755,0.30741
0.28195,0.19039,0.1411,0.07756,0.309
0.28131,0.19018,0.14038,0.07752,0.31061
0.28042,0.18983,0.14002,0.07748,0.31225
0.27984,0.18959,0.13937,0.07734,0.31386
0.2792,0.18928,0.13895,0.07691,0.31566
0.27895,0.1893,0.13784,0.07672,0.31719
0.27788,0.18852,0.13788,0.07708,0.31864
0.27766,0.18825,0.13702,0.07657,0.3205
0.27723,0.18796,0.13658,0.07604,0.32219
0.27678,0.18762,0.13641,0.07535,0.32384
0.27603,0.18723,0.13624,0.07485,0.32565
0.27522,0.1872,0.13582,0.07412,0.32764
0.27468,0.18685,0.13527,0.07392,0.32928
0.27416,0.1866,0.13477,0.07357,0.3309
0.27369,0.18646,0.13388,0.07314,0.33283
0.27337,0.18634,0.13327,0.07258,0.33444
0.27275,0.1859,0.13285,0.07244,0.33606
0.2719,0.18574,0.13234,0.07213,0.33789
0.27125,0.1858,0.13153,0.07192,0.3395
0.27081,0.18555,0.13057,0.07166,0.34141
0.27027,0.1851,0.13005,0.0715,0.34308
0.26968,0.18471,0.12975,0.07101,0.34485
0.26912,0.18408,0.12949,0.07057,0.34674
0.26855,0.18412,0.12885,0.06996,0.34852
0.26788,0.18377,0.12836,0.06969,0.3503
0.2675,0.18309,0.12769,0.06964,0.35208
0.26712,0.18231,0.12763,0.06939,0.35355
0.2664,0.18199,0.12699,0.06939,0.35523
0.26564,0.18172,0.12639,0.06936,0.35689
0.26541,0.18108,0.12606,0.06895,0.3585
0.26439,0.18073,0.12577,0.06883,0.36028
0.26377,0.18039,0.12535,0.06847,0.36202
0.26302,0.1796,0.12509,0.0686,0.36369
0.26308,0.17845,0.12463,0.06826,0.36558
0.26229,0.17787,0.12429,0.06817,0.36738
0.26178,0.17732,0.12368,0.06805,0.36917
0.26109,0.17699,0.12293,0.0679,0.37109
0.26043,0.17682,0.12234,0.06745,0.37296
0.25956,0.17639,0.12199,0.06741,0.37465
0.25924,0.17596,0.12112,0.06737,0.37631
0.25834,0.17523,0.12082,0.06715,0.37846
0.25769,0.17478,0.12036,0.06694,0.38023
0.25699,0.17388,0.1202,0.06686,0.38207
0.25623,0.17349,0.11965,0.06643,0.3842
0.25531,0.17311,0.11884,0.0665,0.38624
0.2547,0.1727,0.11829,0.06609,0.38822
0.25437,0.17175,0.11772,0.06598,0.39018
0.25366,0.17126,0.11749,0.06569,0.3919
0.25315,0.17059,0.11713,0.06541,0.39372
0.25262,0.17024,0.11653,0.065,0.39561
0.25206,0.1692,0.11613,0.06502,0.39759
0.25124,0.16869,0.11567,0.06488,0.39952
0.2504,0.16829,0.11533,0.0646,0.40138
0.24992,0.16759,0.11491,0.06407,0.40351
0.24937,0.16705,0.11418,0.06378,0.40562
0.24874,0.16658,0.11337,0.06337,0.40794
0.24818,0.16575,0.11326,0.06292,0.40989
0.24799,0.16536,0.11242,0.06245,0.41178
0.2471,0.16472,0.11204,0.06216,0.41398
0.24702,0.16404,0.1114,0.06155,0.41599
0.24627,0.16349,0.11087,0.06136,0.41801
0.24592,0.16297,0.10998,0.06101,0.42012
0.24547,0.16203,0.10971,0.06077,0.42202
0.24488,0.16146,0.10907,0.0603,0.42429
0.24429,0.16067,0.10891,0.05976,0.42637
0.24399,0.16011,0.1081,0.0594,0.4284
0.24326,0.15933,0.10785,0.05907,0.43049
0.24272,0.15847,0.10724,0.05876,0.43281
0.24204,0.15773,0.10684,0.05863,0.43476
0.24118,0.15722,0.10594,0.05843,0.43723
0.24075,0.15639,0.1051,0.05829,0.43947
0.24047,0.15566,0.10435,0.05792,0.4416
0.2397,0.15501,0.10379,0.05778,0.44372
0.23923,0.15457,0.10308,0.05739,0.44573
0.23835,0.15388,0.10296,0.05734,0.44747
0.23795,0.15321,0.10218,0.05717,0.44949
0.23712,0.15244,0.1019,0.05696,0.45158
0.23641,0.15181,0.10135,0.05671,0.45372
0.23567,0.15126,0.10089,0.05638,0.4558
0.23511,0.15077,0.10031,0.05586,0.45795
0.23414,0.15022,0.09984,0.05563,0.46017
0.23362,0.14955,0.09913,0.05528,0.46242
0.23287,0.14872,0.09885,0.05498,0.46458
0.23208,0.14835,0.0981,0.05486,0.46661
0.23144,0.14787,0.09759,0.05459,0.46851
0.23068,0.14723,0.09706,0.05429,0.47074
0.22997,0.14636,0.09667,0.05409,0.47291
0.22899,0.14565,0.09651,0.05391,0.47494
0.22803,0.14529,0.09608,0.05376,0.47684
0.22724,0.14484,0.09553,0.05345,0.47894
0.22648,0.14389,0.09511,0.05352,0.481
0.22617,0.14354,0.0943,0.05297,0.48302
0.22555,0.14245,0.09395,0.05278,0.48527
0.2248,0.14172,0.09315,0.05263,0.4877
0.22398,0.14081,0.09273,0.0523,0.49018
0.22298,0.14007,0.09229,0.05225,0.49241
0.22193,0.13956,0.0918,0.05211,0.4946
0.22118,0.13875,0.09121,0.05175,0.49711
0.22047,0.13801,0.09078,0.05148,0.49926
0.21948,0.13764,0.09022,0.05132,0.50134
0.21851,0.13686,0.08978,0.05138,0.50347
0.218,0.13605,0.08915,0.05111,0.50569
0.21717,0.1354,0.0886,0.05116,0.50767
0.21647,0.13482,0.08823,0.05063,0.50985
0.21573,0.13439,0.08766,0.05025,0.51197
0.21509,0.13402,0.08721,0.04942,0.51426
0.21431,0.13306,0.08675,0.04924,0.51664
0.21407,0.13258,0.08606,0.04865,0.51864
0.21346,0.13233,0.08532,0.0481,0.52079
0.21262,0.13203,0.08448,0.04777,0.5231
0.21184,0.13169,0.08378,0.04735,0.52534
0.21107,0.13117,0.0831,0.04709,0.52757
