N,E,S1,S2,D
0.3517,0.19369,0.25186,0.10876,0.09399
0.35141,0.19328,0.25132,0.10927,0.09472
0.35139,0.19378,0.25088,0.10867,0.09528
0.3509,0.19437,0.25052,0.10809,0.09612
0.3509,0.19473,0.2495,0.10791,0.09696
0.35044,0.19462,0.24948,0.10772,0.09774
0.35069,0.19494,0.24884,0.10725,0.09828
0.35046,0.19508,0.24853,0.10697,0.09896
0.35069,0.19526,0.24758,0.10676,0.09971
0.34992,0.19576,0.24729,0.10669,0.10034
0.35015,0.19566,0.24639,0.10648,0.10132
0.34998,0.19577,0.24582,0.10636,0.10207
0.34964,0.19644,0.24522,0.10595,0.10275
0.34907,0.1967,0.24514,0.10578,0.10331
0.34924,0.19659,0.24447,0.10557,0.10413
0.34893,0.19674,0.24403,0.10533,0.10497
0.34902,0.19685,0.24325,0.10506,0.10582
0.34848,0.19667,0.24297,0.10533,0.10655
0.34876,0.19604,0.24242,0.10538,0.1074
0.34833,0.19577,0.24216,0.10559,0.10815
0.34828,0.19588,0.24147,0.10532,0.10905
0.3482,0.196,0.24087,0.10518,0.10975
0.3479,0.19619,0.24058,0.10491,0.11042
0.34825,0.1961,0.23987,0.10472,0.11106
0.34824,0.19599,0.23906,0.10478,0.11193
0.34766,0.19584,0.23895,0.10483,0.11272
0.34749,0.19624,0.23802,0.10454,0.11371
0.3472,0.19632,0.23795,0.10402,0.11451
0.34702,0.19647,0.23727,0.1038,0.11544
0.34657,0.19672,0.2366,0.1039,0.11621
0.34692,0.19716,0.23539,0.1035,0.11703
0.34729,0.1968,0.23456,0.10355,0.1178
0.34729,0.19697,0.23356,0.10352,0.11866
0.34717,0.19663,0.233,0.10372,0.11948
0.34739,0.19662,0.23198,0.10367,0.12034
0.34703,0.19655,0.23145,0.10385,0.12112
0.34714,0.19644,0.23073,0.10363,0.12206
0.34638,0.19609,0.2309,0.1037,0.12293
0.3461,0.19574,0.23075,0.10367,0.12374
0.3458,0.19596,0.22976,0.10387,0.12461
0.34579,0.19634,0.22838,0.10403,0.12546
0.34523,0.19641,0.22821,0.1038,0.12635
0.34537,0.19643,0.22735,0.10364,0.12721
0.34523,0.19605,0.22672,0.10384,0.12816
0.34567,0.19648,0.22524,0.10365,0.12896
0.34507,0.1963,0.22505,0.10382,0.12976
0.34485,0.19662,0.22433,0.10338,0.13082
0.34426,0.19646,0.2244,0.10313,0.13175
0.34392,0.19652,0.22403,0.10288,0.13265
0.34385,0.19618,0.22334,0.103,0.13363
0.34387,0.19638,0.22294,0.10223,0.13458
0.34339,0.19701,0.22188,0.10205,0.13567
0.34327,0.19725,0.22113,0.10171,0.13664
0.34288,0.19755,0.22045,0.10144,0.13768
0.34297,0.19756,0.21958,0.10121,0.13868
0.34258,0.1975,0.21917,0.10112,0.13963
0.34261,0.19785,0.21838,0.10052,0.14064
0.34165,0.19836,0.21816,0.10034,0.14149
0.34186,0.1983,0.2175,0.10002,0.14232
0.34155,0.19851,0.21685,0.09967,0.14342
0.34144,0.199,0.21592,0.09935,0.14429
0.34079,0.19916,0.21513,0.09953,0.14539
0.3407,0.19934,0.21397,0.09956,0.14643
0.34037,0.19907,0.21331,0.09977,0.14748
0.34032,0.19889,0.21266,0.09972,0.14841
0.33946,0.19919,0.21214,0.09972,0.14949
0.3397,0.19923,0.2111,0.09956,0.15041
0.33901,0.19938,0.21054,0.09965,0.15142
0.33931,0.19906,0.20989,0.09948,0.15226
0.33884,0.19892,0.20963,0.09922,0.15339
0.33881,0.19869,0.20915,0.09898,0.15437
0.33835,0.19841,0.20906,0.09884,0.15534
0.33801,0.19877,0.20848,0.09849,0.15625
0.33771,0.19842,0.20802,0.09846,0.15739
0.33789,0.19848,0.20719,0.09787,0.15857
0.33763,0.19845,0.20685,0.09743,0.15964
0.33772,0.19844,0.2058,0.0972,0.16084
0.33733,0.19809,0.20528,0.09721,0.16209
0.33737,0.19803,0.20466,0.0968,0.16314
0.33669,0.19791,0.204,0.09693,0.16447
0.33651,0.19819,0.2028,0.09697,0.16553
0.33619,0.19835,0.20165,0.09707,0.16674
0.33632,0.19809,0.20057,0.09716,0.16786
0.33631,0.1977,0.20004,0.09712,0.16883
0.33598,0.19799,0.19933,0.09692,0.16978
0.33564,0.19743,0.19913,0.09685,0.17095
0.33519,0.1975,0.19873,0.09654,0.17204
0.33466,0.19739,0.19838,0.09636,0.17321
0.3346,0.19711,0.19777,0.09628,0.17424
0.33354,0.19731,0.19771,0.09603,0.17541
0.33314,0.19739,0.19702,0.09582,0.17663
0.33258,0.19727,0.1966,0.09576,0.17779
0.33277,0.19722,0.19523,0.09593,0.17885
0.33246,0.19687,0.19471,0.09586,0.1801
0.33217,0.19673,0.19451,0.09549,0.1811
0.33181,0.19681,0.19396,0.09538,0.18204
0.33162,0.1971,0.193,0.09514,0.18314
0.33085,0.19671,0.19322,0.09516,0.18406
0.33087,0.19729,0.19214,0.09441,0.18529
0.33032,0.1976,0.19147,0.09417,0.18644
0.33006,0.19792,0.1904,0.09394,0.18768
0.32969,0.19795,0.18941,0.09384,0.18911
0.32909,0.1985,0.18863,0.09323,0.19055
0.32846,0.19874,0.18777,0.09336,0.19167
0.32806,0.19906,0.18748,0.09267,0.19273
0.3277,0.19948,0.18655,0.09232,0.19395
0.32757,0.19957,0.18575,0.09203,0.19508
0.327,0.19966,0.18519,0.09186,0.19629
0.32616,0.20019,0.1847,0.09147,0.19748
0.32571,0.19978,0.1845,0.0913,0.19871
0.32553,0.19965,0.18366,0.0912,0.19996
0.32525,0.19982,0.18305,0.09076,0.20112
0.32533,0.19959,0.18218,0.09056,0.20234
0.32497,0.19911,0.18212,0.09016,0.20364
0.32502,0.19892,0.1813,0.08997,0.20479
0.32465,0.19876,0.18097,0.08977,0.20585
0.32472,0.19868,0.18026,0.08936,0.20698
0.32447,0.19848,0.17958,0.08951,0.20796
0.3247,0.19876,0.17822,0.08921,0.20911
0.32433,0.19872,0.1777,0.08881,0.21044
0.32422,0.19908,0.17691,0.08853,0.21126
0.32384,0.1986,0.17621,0.08892,0.21243
0.32357,0.19869,0.17532,0.08871,0.21371
0.32322,0.19865,0.17471,0.08861,0.21481
0.32305,0.19855,0.1739,0.08843,0.21607
0.3221,0.19833,0.17326,0.08855,0.21776
0.32203,0.19834,0.17242,0.08814,0.21907
0.32104,0.19813,0.17223,0.08825,0.22035
0.32062,0.19831,0.17155,0.08768,0.22184
0.3203,0.19812,0.17104,0.08745,0.22309
0.31968,0.19817,0.17067,0.08722,0.22426
0.31913,0.19828,0.17031,0.08691,0.22537
0.31848,0.19846,0.1695,0.08677,0.22679
0.31776,0.1979,0.1694,0.08677,0.22817
0.31781,0.19752,0.16874,0.08638,0.22955
0.31721,0.19738,0.16808,0.08638,0.23095
0.31652,0.19788,0.16697,0.08627,0.23236
0.31583,0.19791,0.16649,0.08616,0.23361
0.31528,0.19791,0.16604,0.08574,0.23503
0.31459,0.19763,0.16554,0.08584,0.2364
0.31415,0.1976,0.16514,0.08541,0.2377
0.31357,0.19748,0.16452,0.0853,0.23913
0.31295,0.19766,0.16387,0.08509,0.24043
0.31243,0.19711,0.16368,0.08492,0.24186
0.31188,0.19704,0.16343,0.08452,0.24313
0.31134,0.19667,0.16297,0.08445,0.24457
0.31116,0.19661,0.16216,0.08393,0.24614
0.31079,0.19662,0.16148,0.08352,0.24759
0.31052,0.19665,0.16087,0.08305,0.24891
0.30995,0.19673,0.16021,0.08285,0.25026
0.30979,0.197,0.15937,0.08231,0.25153
0.3091,0.19706,0.15908,0.08174,0.25302
0.3089,0.19702,0.15859,0.08123,0.25426
0.30834,0.19705,0.15802,0.08098,0.25561
0.30772,0.19691,0.15756,0.08085,0.25696
0.30732,0.19644,0.15723,0.08059,0.25842
0.30702,0.19624,0.15668,0.08026,0.2598
0.30657,0.19631,0.15601,0.08005,0.26106
0.30576,0.19628,0.15548,0.07993,0.26255
0.30541,0.19621,0.1544,0.07994,0.26404
0.30477,0.19623,0.15367,0.07993,0.2654
0.30427,0.19613,0.15293,0.08003,0.26664
0.30381,0.19599,0.15203,0.07975,0.26842
0.30338,0.19531,0.15151,0.07979,0.27001
0.30344,0.19523,0.15026,0.07977,0.2713
0.303,0.19474,0.1498,0.07964,0.27282
0.30275,0.1944,0.14914,0.07943,0.27428
0.30197,0.19416,0.14872,0.07947,0.27568
0.30147,0.19427,0.14806,0.07926,0.27694
0.30037,0.19371,0.14803,0.0793,0.27859
0.29995,0.19375,0.14747,0.07879,0.28004
0.29931,0.19347,0.14696,0.07863,0.28163
0.29883,0.19323,0.14629,0.07842,0.28323
0.29799,0.19307,0.14585,0.07852,0.28457
0.29748,0.19289,0.14535,0.07815,0.28613
0.29672,0.1924,0.14525,0.07787,0.28776
0.29638,0.1921,0.14445,0.07772,0.28935
0.29551,0.19177,0.14438,0.07736,0.29098
0.2952,0.19179,0.14343,0.07693,0.29265
0.29431,0.19197,0.14288,0.07668,0.29416
0.29376,0.19169,0.14232,0.07626,0.29597
0.29307,0.19151,0.14172,0.07625,0.29745
0.29302,0.19088,0.14097,0.0761,0.29903
0.29209,0.19055,0.14064,0.07612,0.3006
0.29154,0.18994,0.1401,0.07608,0.30234
0.29042,0.18969,0.13943,0.07619,0.30427
0.28958,0.18988,0.13871,0.07586,0.30597
0.28908,0.18889,0.1387,0.07575,0.30758
0.2886,0.18854,0.1381,0.07558,0.30918
0.28784,0.18806,0.13792,0.07536,0.31082
0.28722,0.18785,0.13745,0.07508,0.3124
0.2864,0.1876,0.13718,0.07465,0.31417
0.28617,0.1875,0.13607,0.07454,0.31572
0.28509,0.18688,0.1361,0.07476,0.31717
0.28476,0.18673,0.13527,0.07421,0.31903
0.28424,0.18647,0.13473,0.07382,0.32074
0.28378,0.18626,0.13431,0.07323,0.32242
0.28308,0.18592,0.13385,0.07288,0.32427
0.28235,0.18571,0.13348,0.07218,0.32628
0.28169,0.18531,0.1332,0.07189,0.32791
0.28112,0.18517,0.13269,0.07148,0.32954
0.28063,0.18501,0.13183,0.07107,0.33146
0.28047,0.18478,0.13125,0.07044,0.33306
0.27977,0.18437,0.13099,0.07023,0.33464
0.27884,0.18442,0.13047,0.0698,0.33647
0.27821,0.18431,0.12979,0.06961,0.33808
0.27777,0.18412,0.12879,0.06934,0.33998
0.27715,0.1837,0.12846,0.06906,0.34163
0.27664,0.18331,0.12804,0.06863,0.34338
0.27617,0.18261,0.12781,0.06819,0.34522
0.27565,0.18251,0.12718,0.06764,0.34702
