N,E,S1,S2,D
0.37073,0.20892,0.23679,0.08333,0.10023
0.37087,0.20844,0.23559,0.08415,0.10095
0.37126,0.20814,0.23498,0.08378,0.10184
0.37142,0.20784,0.23444,0.0838,0.1025
0.37188,0.20763,0.2339,0.08344,0.10315
0.37194,0.20732,0.23339,0.08359,0.10376
0.3718,0.20421,0.23601,0.08339,0.10459
0.3715,0.20427,0.23335,0.08559,0.10529
0.37221,0.20426,0.23236,0.08491,0.10626
0.37185,0.2041,0.23056,0.08644,0.10705
0.37147,0.20453,0.22972,0.08633,0.10795
0.37167,0.20412,0.22938,0.08613,0.1087
0.37225,0.2045,0.22784,0.08592,0.10949
0.37239,0.20448,0.22728,0.08567,0.11018
0.37294,0.20399,0.22652,0.08556,0.11099
0.37272,0.20251,0.22878,0.08411,0.11188
0.36979,0.20518,0.22813,0.08414,0.11276
0.36865,0.20621,0.22756,0.08413,0.11345
0.36841,0.20618,0.22734,0.08367,0.1144
0.36718,0.20639,0.22766,0.08362,0.11515
0.36756,0.2076,0.22575,0.08308,0.11601
0.36746,0.20575,0.22693,0.08303,0.11683
0.36776,0.20582,0.22568,0.08311,0.11763
0.36711,0.20541,0.22584,0.08312,0.11852
0.36815,0.20438,0.22526,0.08287,0.11934
0.36814,0.20414,0.2227,0.08479,0.12023
0.36863,0.20436,0.22156,0.08439,0.12106
0.36893,0.20423,0.22052,0.08443,0.12189
0.36844,0.20527,0.21931,0.08412,0.12286
0.36822,0.20487,0.21938,0.0838,0.12373
0.36817,0.20506,0.21858,0.08368,0.12451
0.36787,0.20453,0.21852,0.08375,0.12533
0.36829,0.20462,0.21783,0.08299,0.12627
0.36472,0.20809,0.21706,0.08273,0.1274
0.36486,0.2084,0.21608,0.08229,0.12837
0.3648,0.20923,0.21486,0.0818,0.12931
0.36545,0.21017,0.2129,0.08123,0.13025
0.36542,0.21017,0.2123,0.08091,0.1312
0.36544,0.20999,0.21284,0.07957,0.13216
0.36558,0.20916,0.2127,0.07955,0.13301
0.36611,0.2098,0.21136,0.07887,0.13386
0.36552,0.20942,0.21157,0.07855,0.13494
0.3634,0.21157,0.21055,0.07875,0.13573
0.36277,0.20988,0.21181,0.07885,0.13669
0.36264,0.21028,0.21099,0.07844,0.13765
0.36275,0.20987,0.21004,0.07873,0.13861
0.36249,0.20958,0.20951,0.07892,0.1395
0.36153,0.20964,0.20936,0.07891,0.14056
0.36101,0.21038,0.20754,0.07971,0.14136
0.36112,0.21025,0.20649,0.07985,0.14229
0.36012,0.21169,0.20561,0.07951,0.14307
0.35916,0.21196,0.20546,0.07937,0.14405
0.35912,0.21165,0.20553,0.07866,0.14504
0.35876,0.21016,0.20647,0.07865,0.14596
0.35964,0.21115,0.20483,0.07758,0.1468
0.35928,0.21042,0.20508,0.07735,0.14787
0.35964,0.21149,0.20231,0.07755,0.14901
0.35919,0.21053,0.20006,0.08021,0.15001
0.35957,0.21051,0.19887,0.08,0.15105
0.35962,0.21026,0.19839,0.07944,0.15229
0.36043,0.21086,0.19582,0.07959,0.1533
0.35977,0.21073,0.19569,0.07922,0.15459
0.35749,0.21296,0.19445,0.07949,0.15561
0.35712,0.21239,0.19421,0.07963,0.15665
0.357,0.21068,0.1951,0.07952,0.1577
0.35669,0.21041,0.19472,0.07952,0.15866
0.35648,0.20998,0.19433,0.07953,0.15968
0.35707,0.20977,0.19316,0.07928,0.16072
0.35699,0.2096,0.19283,0.07882,0.16176
0.35581,0.20919,0.19303,0.079,0.16297
0.35565,0.20903,0.19208,0.07914,0.1641
0.35516,0.20835,0.19239,0.07897,0.16513
