N,E,S1,S2,D
0.32262,0.21117,0.18902,0.08273,0.19446
0.32315,0.2109,0.18793,0.08231,0.19571
0.32088,0.21286,0.18717,0.08233,0.19676
0.32128,0.21249,0.18642,0.08194,0.19787
0.32037,0.21269,0.18621,0.0819,0.19883
0.31785,0.21485,0.18464,0.0827,0.19996
0.31723,0.2152,0.18401,0.08231,0.20125
0.31446,0.21782,0.18355,0.08192,0.20225
0.31396,0.21763,0.18338,0.08154,0.20349
0.31357,0.21717,0.18295,0.08144,0.20487
0.31255,0.21591,0.18177,0.08368,0.20609
0.31235,0.21607,0.18113,0.08318,0.20727
0.31115,0.2156,0.18024,0.08416,0.20885
0.31152,0.21637,0.17792,0.08412,0.21007
0.31106,0.21541,0.17822,0.08396,0.21135
0.31084,0.21349,0.17901,0.08377,0.21289
0.30988,0.21284,0.17937,0.08378,0.21413
0.31006,0.21298,0.17803,0.08367,0.21526
0.30979,0.21187,0.17866,0.08323,0.21645
0.30931,0.21243,0.17726,0.08306,0.21794
0.30824,0.21232,0.17753,0.08256,0.21935
0.30769,0.21231,0.17706,0.08225,0.22069
0.30759,0.21132,0.17637,0.0826,0.22212
0.30754,0.21139,0.17509,0.08248,0.2235
0.3073,0.21071,0.17444,0.08273,0.22482
0.30692,0.21039,0.17419,0.08229,0.22621
0.30642,0.20969,0.17421,0.08205,0.22763
0.3062,0.2099,0.17337,0.08147,0.22906
0.30562,0.20972,0.17289,0.08126,0.23051
0.30552,0.20971,0.17197,0.08097,0.23183
0.30537,0.20908,0.17151,0.08085,0.23319
0.30558,0.20937,0.17,0.08065,0.2344
0.3052,0.20892,0.16948,0.08056,0.23584
0.30538,0.20938,0.16801,0.07986,0.23737
0.30495,0.20719,0.16885,0.08018,0.23883
0.30452,0.20738,0.1682,0.07967,0.24023
0.30442,0.20762,0.16584,0.08045,0.24167
0.30448,0.20709,0.16553,0.0799,0.243
0.3038,0.20663,0.16526,0.07985,0.24446
0.30322,0.20764,0.16402,0.07944,0.24568
0.30346,0.2065,0.16405,0.07898,0.24701
0.30302,0.20619,0.16366,0.07868,0.24845
0.30277,0.20636,0.16241,0.0786,0.24986
0.30228,0.20632,0.16212,0.07801,0.25127
0.30199,0.20579,0.16198,0.07763,0.25261
0.30127,0.2063,0.16106,0.07721,0.25416
0.30082,0.20641,0.16052,0.07654,0.25571
0.30111,0.20591,0.1594,0.07644,0.25714
0.30054,0.20556,0.15895,0.07642,0.25853
0.30039,0.20448,0.15893,0.07587,0.26033
0.30001,0.20416,0.15796,0.07601,0.26186
0.29957,0.20428,0.15729,0.07559,0.26327
0.29915,0.20351,0.15701,0.07548,0.26485
0.29814,0.20343,0.15694,0.0752,0.26629
0.29774,0.20319,0.15636,0.07487,0.26784
0.2979,0.20342,0.15507,0.07441,0.2692
0.29709,0.20278,0.15491,0.07428,0.27094
0.29663,0.20293,0.15322,0.07473,0.27249
0.29592,0.20135,0.15289,0.07583,0.27401
0.29545,0.20055,0.15306,0.07536,0.27558
0.29468,0.20064,0.15176,0.07603,0.27689
0.29545,0.19905,0.15107,0.07594,0.27849
0.29565,0.19844,0.15018,0.07569,0.28004
0.29545,0.19872,0.14884,0.07528,0.28171
0.29493,0.19856,0.14696,0.07614,0.28341
0.29457,0.19807,0.14645,0.07574,0.28517
0.29362,0.19785,0.14611,0.07564,0.28678
0.29353,0.19743,0.1451,0.07535,0.28859
0.29284,0.19694,0.14471,0.07549,0.29002
0.29272,0.19616,0.14453,0.0749,0.29169
0.29227,0.19534,0.14358,0.07552,0.29329
0.29199,0.19469,0.1432,0.07523,0.29489
0.29121,0.19337,0.14351,0.07517,0.29674
0.29252,0.19107,0.14378,0.07413,0.2985
0.2918,0.19062,0.14333,0.07417,0.30008
0.29114,0.1905,0.14262,0.07387,0.30187
0.29061,0.19061,0.14066,0.07454,0.30358
0.29017,0.18989,0.13994,0.07478,0.30522
0.28959,0.1892,0.13973,0.07441,0.30707
0.28916,0.18903,0.139,0.07422,0.30859
0.28876,0.18823,0.13865,0.07424,0.31012
0.28833,0.18848,0.13762,0.07367,0.3119
0.28717,0.18903,0.1368,0.07325,0.31375
0.28702,0.18937,0.13587,0.07221,0.31553
0.28629,0.18898,0.13554,0.07181,0.31738
0.28591,0.18862,0.13475,0.07134,0.31938
0.28542,0.18789,0.1347,0.07107,0.32092
0.28531,0.1879,0.13364,0.0705,0.32265
0.28628,0.18554,0.13344,0.07014,0.3246
0.28551,0.18571,0.13276,0.0696,0.32642
0.28496,0.1854,0.13229,0.06935,0.328
0.28451,0.18486,0.13172,0.06899,0.32992
0.28385,0.18381,0.1319,0.06881,0.33163
0.28394,0.18287,0.13111,0.06851,0.33357
0.28194,0.18302,0.1311,0.06867,0.33527
0.28146,0.18345,0.12961,0.06831,0.33717
0.28048,0.18303,0.1292,0.06817,0.33912
0.27928,0.18311,0.12887,0.06784,0.3409
0.27863,0.18212,0.12878,0.06789,0.34258
0.27831,0.18213,0.12773,0.06743,0.3444
0.27794,0.181,0.12783,0.06732,0.34591
0.27728,0.1807,0.12786,0.06661,0.34755
0.277,0.17995,0.12769,0.06612,0.34924
0.27682,0.17967,0.12699,0.06564,0.35088
0.27621,0.17895,0.12596,0.06629,0.35259
0.27558,0.17847,0.12551,0.06607,0.35437
0.2753,0.17654,0.12621,0.06588,0.35607
0.27477,0.17547,0.12617,0.06569,0.3579
0.2742,0.17481,0.12551,0.06571,0.35977
0.27359,0.17457,0.12405,0.06622,0.36157
0.27277,0.17387,0.12357,0.0664,0.36339
0.27189,0.17369,0.12304,0.06619,0.36519
0.27134,0.17248,0.12304,0.06615,0.36699
0.27087,0.1722,0.12257,0.06557,0.36879
0.27036,0.17152,0.12147,0.06572,0.37093
0.26988,0.17116,0.12073,0.06547,0.37276
0.26915,0.17118,0.11991,0.06513,0.37463
0.26873,0.17066,0.11887,0.06496,0.37678
0.26768,0.17,0.11849,0.06467,0.37916
0.26663,0.17004,0.11786,0.06426,0.38121
0.26614,0.1693,0.1176,0.06382,0.38314
0.26591,0.16873,0.11708,0.06336,0.38492
0.26529,0.16853,0.11629,0.06321,0.38668
0.2647,0.16794,0.11507,0.06355,0.38874
0.26384,0.16659,0.11543,0.0633,0.39084
0.26242,0.16689,0.11525,0.06266,0.39278
0.26194,0.16659,0.11442,0.06232,0.39473
0.26131,0.16602,0.11393,0.06195,0.39679
0.26055,0.16579,0.11296,0.06191,0.39879
0.25994,0.16561,0.11224,0.06132,0.40089
0.2588,0.16558,0.11174,0.0609,0.40298
0.25835,0.16568,0.11068,0.06051,0.40478
0.25771,0.16514,0.11022,0.05998,0.40695
0.25706,0.16424,0.11022,0.05935,0.40913
0.25622,0.1637,0.10985,0.05895,0.41128
0.25586,0.16345,0.10875,0.05838,0.41356
0.25499,0.16279,0.10776,0.05883,0.41563
0.25464,0.16283,0.10655,0.05821,0.41777
0.25351,0.16266,0.10629,0.0577,0.41984
0.25306,0.16254,0.10484,0.05769,0.42187
0.25216,0.16138,0.10499,0.05754,0.42393
0.25174,0.1608,0.10426,0.05717,0.42603
0.25086,0.15955,0.10495,0.05654,0.4281
0.24996,0.15933,0.10394,0.05634,0.43043
0.24903,0.15862,0.10345,0.05625,0.43265
0.24834,0.15821,0.10274,0.05592,0.43479
0.24735,0.15617,0.10357,0.05589,0.43702
0.24699,0.15578,0.10271,0.05551,0.43901
0.24612,0.15508,0.10263,0.05533,0.44084
0.245,0.15501,0.10221,0.05497,0.44281
0.24414,0.15438,0.10183,0.05479,0.44486
0.24355,0.15377,0.10125,0.05445,0.44698
0.24307,0.15271,0.10046,0.05476,0.449
0.24326,0.15271,0.09858,0.05444,0.45101
0.24191,0.15197,0.09854,0.05434,0.45324
0.24142,0.15123,0.09795,0.05384,0.45556
0.24068,0.15051,0.09754,0.05372,0.45755
0.24021,0.15019,0.09657,0.05339,0.45964
0.23954,0.14937,0.09617,0.05328,0.46164
0.23862,0.1489,0.0956,0.05309,0.46379
0.23788,0.14799,0.09512,0.0531,0.46591
0.23713,0.14753,0.09458,0.05283,0.46793
0.23648,0.14702,0.09423,0.05249,0.46978
0.23553,0.14633,0.09395,0.05244,0.47175
0.23484,0.14552,0.09364,0.05225,0.47375
0.23348,0.14573,0.09309,0.05194,0.47576
0.23235,0.14526,0.09202,0.05221,0.47816
0.23168,0.14433,0.09164,0.05176,0.48059
0.23076,0.14304,0.09169,0.05137,0.48314
0.22998,0.14254,0.09091,0.05099,0.48558
0.2292,0.14172,0.0904,0.05093,0.48775
0.22825,0.14138,0.08989,0.05026,0.49022
0.22738,0.14051,0.08972,0.05013,0.49226
0.22685,0.13969,0.08941,0.04959,0.49446
0.22562,0.13925,0.0885,0.04998,0.49665
0.22502,0.13864,0.08757,0.04979,0.49898
0.22417,0.13782,0.08746,0.04948,0.50107
0.22137,0.13904,0.08734,0.04908,0.50317
0.22184,0.13739,0.08687,0.04869,0.50521
0.22116,0.1369,0.08634,0.0482,0.5074
0.22042,0.13596,0.0859,0.04793,0.50979
0.21963,0.13556,0.08535,0.04759,0.51187
0.21886,0.13542,0.08464,0.04712,0.51396
0.21851,0.13463,0.0835,0.04729,0.51607
0.21781,0.13434,0.0827,0.04709,0.51806
0.21691,0.13401,0.08184,0.04682,0.52042
0.21611,0.13237,0.08259,0.04661,0.52232
0.21529,0.13201,0.08175,0.04628,0.52467
0.21433,0.13097,0.08196,0.04598,0.52676
0.21369,0.13063,0.08134,0.04552,0.52882
0.21255,0.12998,0.08099,0.04537,0.53111
0.21193,0.12927,0.08043,0.04505,0.53332
0.21119,0.12849,0.0794,0.04532,0.5356
0.21009,0.12843,0.0787,0.04486,0.53792
0.20854,0.12742,0.07922,0.04457,0.54025
0.20765,0.12714,0.07861,0.04412,0.54248
0.20651,0.12672,0.07753,0.04452,0.54472
0.20587,0.12608,0.07687,0.04411,0.54707
0.20539,0.12558,0.07572,0.04392,0.54939
0.2046,0.12511,0.07496,0.04374,0.55159
0.20379,0.12449,0.07433,0.04346,0.55393
0.20303,0.12393,0.07384,0.04297,0.55623
0.20203,0.12327,0.07294,0.04306,0.5587
0.20121,0.12291,0.07214,0.0427,0.56104
0.20012,0.12236,0.07216,0.04222,0.56314
