N,E,S1,S2,D
0.37747,0.20282,0.24622,0.08902,0.08447
0.37807,0.20268,0.24546,0.08876,0.08503
0.37816,0.20247,0.24499,0.0887,0.08568
0.37867,0.202,0.24457,0.08845,0.08631
0.37859,0.2018,0.24407,0.08855,0.08699
0.37794,0.20149,0.2445,0.08836,0.08771
0.3755,0.20333,0.24423,0.08858,0.08836
0.37619,0.20328,0.24386,0.08777,0.0889
0.37578,0.20337,0.24384,0.08739,0.08962
0.37574,0.20363,0.24332,0.08687,0.09044
0.37559,0.20348,0.24322,0.08664,0.09107
0.37595,0.20355,0.2428,0.08612,0.09158
0.37596,0.20189,0.24428,0.08564,0.09223
0.37644,0.20081,0.24473,0.08512,0.0929
0.37428,0.20314,0.24404,0.085,0.09354
0.37467,0.202,0.24423,0.08469,0.09441
0.3748,0.20048,0.24485,0.08467,0.0952
0.37563,0.20149,0.24374,0.08326,0.09588
0.37521,0.2016,0.24373,0.08302,0.09644
0.37649,0.20306,0.24056,0.0828,0.09709
0.37635,0.20305,0.23885,0.0839,0.09785
0.37672,0.2027,0.23812,0.08382,0.09864
0.37626,0.20237,0.23806,0.08393,0.09938
0.37452,0.20424,0.23744,0.08359,0.10021
0.37324,0.20505,0.2356,0.08519,0.10092
0.37352,0.20503,0.23479,0.08485,0.10181
0.37361,0.20471,0.2343,0.08492,0.10246
0.37502,0.20537,0.23197,0.08453,0.10311
0.37516,0.20494,0.23145,0.08473,0.10372
0.37489,0.20239,0.23365,0.08449,0.10458
0.37414,0.2029,0.23303,0.08468,0.10525
0.37342,0.20437,0.23204,0.08395,0.10622
0.37302,0.20434,0.23189,0.08375,0.107
0.37188,0.20536,0.2311,0.08375,0.10791
0.37212,0.20491,0.2307,0.08361,0.10866
0.3726,0.20549,0.22918,0.08329,0.10944
0.37242,0.20341,0.23095,0.08308,0.11014
0.373,0.20303,0.23,0.08302,0.11095
0.37268,0.20096,0.2321,0.08243,0.11183
0.36965,0.20386,0.23134,0.08243,0.11272
0.36847,0.20486,0.23093,0.08233,0.11341
0.36832,0.20468,0.22863,0.08402,0.11435
0.36668,0.20535,0.22868,0.08419,0.1151
0.3677,0.20577,0.2269,0.08365,0.11598
0.36753,0.20528,0.22679,0.08361,0.11679
0.36755,0.20516,0.22601,0.0837,0.11758
0.36686,0.20465,0.22626,0.08376,0.11847
0.36744,0.20287,0.22678,0.08362,0.11929
0.36742,0.20245,0.22525,0.08469,0.12019
0.36775,0.20243,0.2246,0.08422,0.121
0.36807,0.20315,0.22273,0.08424,0.12181
0.36856,0.2025,0.22225,0.08392,0.12277
0.36826,0.20225,0.22224,0.08361,0.12364
0.36757,0.20327,0.22121,0.08353,0.12442
0.36719,0.20264,0.22137,0.08356,0.12524
0.36714,0.20528,0.21862,0.08279,0.12617
0.36466,0.20751,0.21805,0.08249,0.12729
0.36473,0.20782,0.21712,0.08207,0.12826
0.36524,0.20805,0.21592,0.0816,0.12919
0.36593,0.20894,0.21407,0.08095,0.13011
0.36428,0.21011,0.21399,0.08057,0.13105
0.36438,0.20953,0.21479,0.07928,0.13202
