N,E,S1,S2,D
0.38677,0.20143,0.24684,0.0855,0.07946
0.38349,0.20395,0.24687,0.0857,0.07999
0.38417,0.20225,0.24798,0.08499,0.08061
0.38215,0.20388,0.24737,0.08522,0.08138
0.3821,0.20358,0.2472,0.08517,0.08195
0.38225,0.203,0.24691,0.08513,0.08271
0.38336,0.20419,0.24392,0.08508,0.08345
0.38327,0.20375,0.24396,0.08493,0.08409
0.3839,0.2036,0.24322,0.08465,0.08463
0.38408,0.20346,0.24255,0.08463,0.08528
0.38455,0.20306,0.24215,0.08434,0.0859
0.3845,0.20286,0.24155,0.08451,0.08658
0.38465,0.20175,0.24191,0.08439,0.0873
0.38225,0.20355,0.24153,0.08472,0.08795
0.38302,0.20337,0.24119,0.08393,0.08849
0.38266,0.20333,0.24127,0.08353,0.08921
0.3826,0.20369,0.24066,0.08302,0.09003
0.38249,0.20362,0.24048,0.08275,0.09066
0.38282,0.20365,0.24013,0.08223,0.09117
0.38278,0.20302,0.24067,0.08172,0.09181
0.38323,0.2026,0.24046,0.08123,0.09248
0.38106,0.20501,0.23971,0.08109,0.09313
0.38147,0.20286,0.24101,0.08066,0.094
0.38162,0.20129,0.24169,0.08062,0.09478
0.38244,0.20231,0.24062,0.07918,0.09545
0.38201,0.20246,0.24052,0.07902,0.09599
0.38339,0.2039,0.23725,0.07882,0.09664
0.38341,0.20388,0.23541,0.0799,0.0974
0.38371,0.20352,0.23472,0.07987,0.09818
0.38336,0.20316,0.2346,0.07996,0.09892
0.38166,0.20487,0.234,0.07974,0.09973
0.38096,0.2051,0.23082,0.08267,0.10045
0.38131,0.20506,0.23001,0.0823,0.10132
0.38144,0.20471,0.22958,0.08231,0.10196
0.38292,0.20552,0.22701,0.08196,0.10259
0.38305,0.20517,0.22639,0.08219,0.1032
0.38291,0.20191,0.22912,0.082,0.10406
0.38148,0.20316,0.22846,0.08217,0.10473
0.3816,0.20374,0.22752,0.08144,0.1057
0.38118,0.20361,0.22752,0.08121,0.10648
0.3807,0.20401,0.22671,0.08119,0.10739
0.38103,0.20346,0.22625,0.08111,0.10815
0.38164,0.20385,0.22478,0.08081,0.10892
0.38144,0.20265,0.22561,0.08068,0.10962
0.382,0.20224,0.22477,0.08056,0.11043
0.38163,0.19942,0.22772,0.07993,0.1113
0.37856,0.20226,0.22698,0.08001,0.11219
0.37777,0.20283,0.22661,0.07993,0.11286
0.37766,0.20262,0.22533,0.08059,0.1138
0.37548,0.20385,0.22539,0.08072,0.11456
0.37651,0.2042,0.22373,0.08013,0.11543
0.37627,0.20383,0.22359,0.08007,0.11624
0.37629,0.20372,0.22281,0.08015,0.11703
0.37553,0.20324,0.22317,0.08014,0.11792
0.3761,0.20162,0.22348,0.08006,0.11874
0.37607,0.20128,0.22186,0.08116,0.11963
0.37639,0.20142,0.22094,0.08081,0.12044
