,age,cumulative_incidence,group
253,61.0,0.8275941351236087,Overall
254,61.08333333333333,0.8282188748953879,Overall
255,61.166666666666664,0.8288665156426624,Overall
256,61.25,0.8295593637574695,Overall
257,61.33333333333333,0.8301856548092795,Overall
258,61.416666666666664,0.8308684492893159,Overall
259,61.5,0.831551560233721,Overall
260,61.58333333333333,0.8321117106718905,Overall
261,61.666666666666664,0.8328180186670604,Overall
262,61.75,0.833435257639559,Overall
263,61.83333333333333,0.8340530793842194,Overall
264,61.916666666666664,0.83450276956948,Overall
265,62.0,0.8351440572740714,Overall
266,62.08333333333333,0.8358083449820914,Overall
267,62.166666666666664,0.8364394179183304,Overall
268,62.25,0.8371162203269441,Overall
269,62.33333333333333,0.8377938204642514,Overall
270,62.416666666666664,0.8384720344553416,Overall
271,62.5,0.8389928002539856,Overall
272,62.58333333333333,0.8396613501016185,Overall
273,62.666666666666664,0.8403758312830866,Overall
274,62.75,0.8415905234139954,Overall
275,62.83333333333333,0.8420561330304571,Overall
276,62.916666666666664,0.8425790506841637,Overall
277,63.0,0.8435233943379086,Overall
278,63.08333333333333,0.8442636402890029,Overall
279,63.166666666666664,0.8448222028439611,Overall
280,63.25,0.8452559473303112,Overall
281,63.33333333333333,0.8458956687941752,Overall
282,63.416666666666664,0.8466846573564073,Overall
283,63.5,0.847371554052839,Overall
284,63.58333333333333,0.8479329407704048,Overall
285,63.666666666666664,0.8484605531346046,Overall
286,63.75,0.8492414475258478,Overall
287,63.83333333333333,0.8498619949634272,Overall
288,63.916666666666664,0.850563413230045,Overall
289,64.0,0.85197861958766,Overall
290,64.08333333333333,0.8523011062552249,Overall
291,64.16666666666666,0.8526586469163281,Overall
292,64.25,0.8529702972518752,Overall
293,64.33333333333333,0.8532243542311762,Overall
294,64.41666666666666,0.8535943574346267,Overall
295,64.5,0.8539069920715505,Overall
296,64.58333333333333,0.854092403995629,Overall
297,64.66666666666666,0.8543011084400092,Overall
298,64.75,0.8545447326714576,Overall
299,64.83333333333333,0.8547189445055303,Overall
300,64.91666666666666,0.8549630362060969,Overall
301,65.0,0.8551958590069539,Overall
302,65.08333333333333,0.8557316960663761,Overall
303,65.16666666666666,0.8562916442016404,Overall
304,65.25,0.8568756820615056,Overall
305,65.33333333333333,0.8580099188948416,Overall
306,65.41666666666666,0.8584195844490976,Overall
307,65.5,0.858876597874564,Overall
308,65.58333333333333,0.8592049827544372,Overall
309,65.66666666666666,0.8597921669117712,Overall
310,65.75,0.8602151520782151,Overall
311,65.83333333333333,0.8606386355861833,Overall
